species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
964,270922,3,1.9599999999999997,3,59,1,196,5997.971844444444,0,11.040000000000001,-0.2542372881355932,19.38563639359699
964,270922,4,13.690000000000001,3,62,1,181,7141.724391666667,0,-0.6900000000000013,-0.3064516129032258,6.240484722222229
966,225179,1,9.0,3,56,1,184,8121.495902777778,0,0.0,-0.10714285714285714,3.7110751488095275
49,225097,1,1.0,2,56,2,184,8121.495902777778,0,0.0,-0.10714285714285714,3.7110751488095275
49,225097,2,1.0,2,54,2,178,8329.316111111111,0,0.0,0.3333333333333333,-43.17304197530865
49,225097,3,1.44,2,59,2,196,5997.971844444444,0,-0.43999999999999995,-0.2542372881355932,19.38563639359699
49,225097,4,1.2100000000000002,2,62,2,181,7141.724391666667,-2,-1.2100000000000002,-0.3064516129032258,6.240484722222229
49,225117,1,1.0,2,56,2,184,8121.495902777778,0,1.0,-0.10714285714285714,3.7110751488095275
49,225117,2,2.25,2,54,2,178,8329.316111111111,0,1.75,0.3333333333333333,-43.17304197530865
49,225117,3,4.0,2,59,2,196,5997.971844444444,0,-1.0,-0.2542372881355932,19.38563639359699
49,225117,4,3.24,2,62,2,181,7141.724391666667,-1,-0.2400000000000002,-0.3064516129032258,6.240484722222229
49,225117,5,3.61,2,55,1,162,7528.634444444445,0,0.3900000000000001,-0.07272727272727272,5.1539381818181775
58,270645,3,2.8899999999999997,3,59,2,196,5997.971844444444,0,1.1100000000000003,-0.2542372881355932,19.38563639359699
58,270650,3,5.289999999999999,3,59,2,196,5997.971844444444,0,4.710000000000001,-0.2542372881355932,19.38563639359699
316,225015,1,4.0,2,56,14,184,8121.495902777778,0,0.0,-0.10714285714285714,3.7110751488095275
316,225015,2,4.0,2,54,14,178,8329.316111111111,1,1.0,0.3333333333333333,-43.17304197530865
316,225015,3,5.289999999999999,2,59,15,196,5997.971844444444,-15,-5.289999999999999,-0.2542372881355932,19.38563639359699
316,225025,1,2.25,2,56,14,184,8121.495902777778,0,-0.25,-0.10714285714285714,3.7110751488095275
316,225025,2,2.25,2,54,14,178,8329.316111111111,1,3.75,0.3333333333333333,-43.17304197530865
316,225025,3,6.25,2,59,15,196,5997.971844444444,-3,0.75,-0.2542372881355932,19.38563639359699
316,225025,4,7.839999999999999,2,62,12,181,7141.724391666667,-3,0.16000000000000103,-0.3064516129032258,6.240484722222229
316,225025,5,8.41,2,55,9,162,7528.634444444445,1,-0.41000000000000014,-0.07272727272727272,5.1539381818181775
316,225025,6,8.41,2,53,10,158,7812.101044444445,-10,-8.41,0.32075471698113206,-35.34014915901895
316,225027,1,20.25,2,56,14,184,8121.495902777778,0,4.75,-0.10714285714285714,3.7110751488095275
316,225027,2,25.0,2,54,14,178,8329.316111111111,1,6.0,0.3333333333333333,-43.17304197530865
316,225027,3,31.359999999999996,2,59,15,196,5997.971844444444,-3,12.640000000000004,-0.2542372881355932,19.38563639359699
316,225027,4,44.89,2,62,12,181,7141.724391666667,-12,-44.89,-0.3064516129032258,6.240484722222229
316,225039,1,1.0,2,56,14,184,8121.495902777778,0,0.0,-0.10714285714285714,3.7110751488095275
316,225039,2,1.0,2,54,14,178,8329.316111111111,-14,-1.0,0.3333333333333333,-43.17304197530865
316,225047,1,12.25,2,56,14,184,8121.495902777778,-14,-12.25,-0.10714285714285714,3.7110751488095275
316,225061,1,1.0,2,56,14,184,8121.495902777778,0,0.0,-0.10714285714285714,3.7110751488095275
316,225061,2,1.0,2,54,14,178,8329.316111111111,1,0.0,0.3333333333333333,-43.17304197530865
316,225061,3,1.9599999999999997,2,59,15,196,5997.971844444444,-3,-0.9599999999999997,-0.2542372881355932,19.38563639359699
316,225061,4,1.9599999999999997,2,62,12,181,7141.724391666667,-3,-0.9599999999999997,-0.3064516129032258,6.240484722222229
316,225061,5,1.6900000000000002,2,55,9,162,7528.634444444445,1,0.30999999999999983,-0.07272727272727272,5.1539381818181775
316,225061,6,2.25,2,53,10,158,7812.101044444445,-2,-0.25,0.32075471698113206,-35.34014915901895
316,225061,7,2.8899999999999997,2,57,8,175,5939.07313901644,0,0.11000000000000032,-0.17543859649122806,38.982669642553255
316,225065,1,3.0625,2,56,14,184,8121.495902777778,0,-1.0625,-0.10714285714285714,3.7110751488095275
316,225065,2,2.25,2,54,14,178,8329.316111111111,1,0.75,0.3333333333333333,-43.17304197530865
316,225065,3,3.61,2,59,15,196,5997.971844444444,-3,0.3900000000000001,-0.2542372881355932,19.38563639359699
316,225065,4,4.41,2,62,12,181,7141.724391666667,-12,-4.41,-0.3064516129032258,6.240484722222229
316,225089,1,2.25,2,56,14,184,8121.495902777778,0,-0.25,-0.10714285714285714,3.7110751488095275
316,225089,2,2.25,2,54,14,178,8329.316111111111,1,-1.25,0.3333333333333333,-43.17304197530865
316,225089,3,1.1025,2,59,15,196,5997.971844444444,-3,0.8975,-0.2542372881355932,19.38563639359699
316,225089,4,2.8899999999999997,2,62,12,181,7141.724391666667,-3,1.1100000000000003,-0.3064516129032258,6.240484722222229
316,225089,5,4.0,2,55,9,162,7528.634444444445,1,2.0,-0.07272727272727272,5.1539381818181775
316,225089,6,6.5024999999999995,2,53,10,158,7812.101044444445,-2,1.4975000000000005,0.32075471698113206,-35.34014915901895
316,225089,7,8.41,2,57,8,175,5939.07313901644,0,1.5899999999999999,-0.17543859649122806,38.982669642553255
